id,data_id,code,production_id,play_id
944,,19860605-ichin,287,72
945,,19860605-sanju,287,77
946,,19861212-sonez,289,3
947,,19870509-ehon,290,16
948,,19870509-kojo,290,171
949,,19880302-sessh,291,75
950,,19880302-danno,291,83
951,,19880302-shinj,291,2
952,,19960210-kokus,292,40
953,,19960210-shins,292,106
954,,19960210-shinj,292,2
955,,20020103-kotob,293,42
956,,20020103-kokus,293,40
957,,20020103-musum,293,48
958,,20020103-krenri,293,150
959,,20020103-datem,293,109
960,,20020720-shitak,295,184
961,,20020720-bunra,295,185
962,,20020720-yukiw,295,127
963,,20020720-meibo,295,125
964,,20020720-sonez,295,3
965,,20020406-sugaw,294,73
966,,19960210-kojo,292,181
967,,19730219-onnah,296,186
968,,19730219-danno,296,83
969,,19960303-gosho,297,66
970,,19960303-hidak,297,25
971,,19960303-chika,297,6
972,,19960303-yoshi,297,62
973,,19671002-tsuri,298,70
974,,19671002-tsubo,298,60
975,,19700822-koiny,286,38
976,,19700822-onna,286,1
977,,19821207-igago,299,29
978,,20030510-kojo,300,187
979,,19921204-kokus,301,40
980,,19700403-kojo,8,188
981,,19700524-kojo,9,188
982,,19690916-tsubo,302,60
983,,19710912-sonez2,303,3
984,,19731111-sanju,304,77
