play_id,label_ja,label_ja_sort,label_ka,sort_ja,label_eng,label_eng_sort,first_staged,reference
13,Kunikotoba kudoki ondo,Kunikotoba kudoki ondo,国言詢音頭,くにことばくどきおんど,The Murder in Revenge,"Murder in Revenge, The",1788; 1777 (as Oki Miyage Imaori Jōfu),"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 154, August 1978; Bunraku August 1978 Performance Program"
14,Akegarasu yuki no akebono,Akegarasu yuki no akebono,明烏六花曙,あけがらすゆきのあけぼの,Tragedy on a Snowy Night,Tragedy on a Snowy Night,1853,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku January 1996 Performance Program"
15,Ashiya Dōman ōuchi kagami,Ashiya Doman ouchi kagami,芦屋道満大内鑑,あしやどうまんおおうちかがみ,The White Fox of Shinoda,"White Fox of Shinoda, The",1734,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku August 1984 Performance Program."
16,Ehon taikōki,Ehon taikoki,"絵本太功記
絵本太功記",えほんたいこうき,The Tycoon's Exploit,"Tycoon's Exploit, The",1799,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku April 1974 Performance Program"
17,Futago Sumidagawa,Futago Sumidagawa,雙生隅田川,ふたごすみだがわ,The Twins and the Sumida River,"Twins and the Sumida River, The",1720,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Chikamatsu: 5 Late Plays, translated and annotated by C. Andrew Gerstle (New York: Columbia University Press, c2001);  February 1988 Program"
18,Futatsu chōchō kuruwa nikki,Futatsu chocho kuruwa nikki,双蝶々曲輪日記,ふたつちょうちょうくるわにっき,The Two Butterflies,"Two Butterflies, The",1749,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 143; Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku September 1977; September 1989 Performance Program"
19,Gion sairei shinkōki,Gion sairei shinkoki,祇園祭礼信仰記,ぎおんさいれいしんこうき,The Gion Festival,"Gion Festival, The",1757,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 203, May 1982; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku May 1982 Performance Program"
20,Gishi meimeiden,Gishi meimeiden,義士銘々伝,ぎしめいめいでん,A Chushingura's Subplot,"Chushingura's Subplot, A",1870,"Bunraku February 1978, April 1996 Performance Programs; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 149, February 1978"
21,Gokusaishiki musume ōgi,Gokusaishiki musume ogi,極彩色娘扇,ごくさいしきむすめおうぎ,The Maiden's Colorful Fan,"Maiden's Colorful Fan, The",1760,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku September 1972 Performance Program"
22,Go taiheiki shiraishi banashi,Go taiheiki shiraishi banashi,碁太平記白石噺,ごたいへいきしらいしばなし,The Shiraishi Story,"Shiraishi Story, The",1780,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku May 1971 Performance Program"
