scene_id,scene_code,scene_order,label_ja,label_ja_sort,label_eng,label_ka,play_id,authority_control
190,Kagamiyama-03,224,Zōriuchi,Zoriuchi [Kagamiyama],The Beating with a Sandal,草履打,30,October 1968 Program; May 1982 Program
191,Kagamiyama-04,225,Rōka,Roka [Kagamiyama],The Corridor,廊下,30,October 1968 Program; May 1982 Program
192,Kagamiyama-05,226,Nagatsubone,Nagatsubone [Kagamiyama],Onoe's Room,長局,30,October 1968 Program; May 1982 Program
193,Kagamiyama-06,227,Okuniwa,Okuniwa [Kagamiyama],The Rear Garden,奥庭,30,May 1982 Program
194,Kamakura-01,228,Irezumi,Irezumi [Kamakura],The Tattooing,入墨,11,July 1991 Program; May 1983 Program
196,Kamakura-02,230,Tsubone shisha (See also Kinukawa Mura),Tsubone shisha [Kamakura],A Visit of Two Ladies-in-Waiting (See also Kinugawa Villege),局使者 (See also 絹川村),11,May 1983 Program
197,Kamakura-03,231,Kome arai (See also Kinukawa Mura),Kome arai [Kamakura],Rice Washing (See also Kinugawa Villege),米洗い (See also 絹川村),11,July 1991 Program; May 1983 Program
198,Kamakura-04,232,Miuranosuke haha wakare (Miura wakare) (See also Kinukawa mura),Miuranosuke haha wakare [Kamakura],Parting of Miuranosuke with His Mother (See also Kinugawa Villege),三浦之助母別れ（三浦別れ） (See also 絹川村),11,July 1991 Program; May 1983 Program
199,Kamakura-05,233,Takatsuna monogatari (See also Kinukawa mura),Takatsuna monogatari  [Kamakura],Takatsuna's Declaration (See also Kinugawa Villege),高綱物語 (See also 絹川村),11,July 1991 Program; May 1983 Program
200,Kamakura-07,234,Ishiyama honjin,Ishiyama honjin [Kamakura],Tokimasa's Headquarters at Ishiyama,石山本陣,11,July 1991 Program
201,Kamakura-08,235,Takadono,Takadono [Kamakura],Takadono,高楼,11,May 1983 Program; no English translation available
